headline,label
Tesla releases first fully autonomous semi-truck that passes all U.S. safety tests,real
Apple unveils AI-powered health tracker that predicts heart attacks in real time,real
Apple Unveils 8.5‑inch Foldable iPhone with 200MP Camera,real
World Health Organization releases updated guidelines on influenza antiviral use,real
World Health Organization announces successful trial of new malaria vaccine,real
Apple Introduces Foldable iPhone 15 with 6.7-inch OLED Display,real
Tech Giant Unveils Quantum Computing Chip That Doubles Processing Speed,real
Microsoft Introduces Quantum Computing Service in Azure Cloud,real
NASA's Perseverance rover collects first samples from Mars' Jezero Crater,real
New CRISPR Technique Offers Hope for Treating Rare Genetic Disorders,real
Global Vaccine Initiative Achieves 95% Coverage in 2025,real
Tesla Announces First Solar-Powered Autonomous Truck,real
Global health officials approve new malaria vaccine,real
Apple Unveils New Foldable iPhone with 6.7-inch Display,real
Global Vaccine Rollout Accelerates as New Booster Shows 95% Efficacy,real
US Senate Passes Comprehensive Climate Action Bill,real
Apple announces quantum chip to double smartphone performance,real
Scientists Discover New Exoplanet in Habitable Zone of Nearby Star,real
Google launches quantum computing cloud service,real
Health study finds moderate coffee consumption reduces heart disease risk,real
FDA Approves First AI-Driven Diagnostic Tool for Early Alzheimer’s Detection,real
New Study Links Moderate Coffee Consumption to Lower Heart Disease Risk,real
Apple unveils new AR glasses with 4K display,real
Apple Unveils 6‑inch OLED iPhone 16 at WWDC,real
Scientists Discover Gene Therapy That Extends Mouse Lifespan by 40%,real
AI Model Deciphers Protein Folding Puzzle,real
Global Markets Rally as Federal Reserve Signals Interest Rate Cut Ahead of Election,real
Global Climate Summit Announces New Carbon Capture Initiative,real
US Senate Passes Comprehensive AI Ethics Bill,real
Google Announces Quantum-Accelerated Search Algorithm,real
New FDA approval expands use of GeneX therapy for rare blood disorder,real
Microsoft unveils quantum computing chip that doubles processing speed,real
Tech Giant Unveils Breakthrough Quantum Processor,real
US Senate Approves $5 Trillion Climate Bill,real
NASA announces successful landing of Mars sample return capsule,real
Breakthrough Gene Therapy Shows Promise in Early Trials for Parkinson's Disease,real
WHO Announces New Guidelines to Reduce Childhood Obesity,real
Amazon Expands Drone Delivery to Rural Areas,real
NASA Announces Successful Mars Rover Sample Return Mission,real
Global health experts confirm new vaccine reduces COVID-19 cases by 95%,real
Tech Giant Unveils Quantum-Enhanced AI Chip,real
Study Finds Mediterranean Diet Cuts Heart Attack Risk by 20%,real
US Senate Approves Bill to Expand Renewable Energy Grid,real
WHO Declares COVID-19 Public Health Emergency Over,real
Tesla Announces Breakthrough 80% Efficient Battery Technology,real
Federal Health Agency Announces New Initiative to Reduce Childhood Obesity,real
Global Health Organization Announces 80% Global Vaccination Milestone,real
AI-Powered Chatbot Achieves Human-Level Conversation Accuracy,real
FDA approves first oral treatment for chronic migraine,real
FDA Approves First Gene Therapy for Rare Blood Disorder,real
World Health Organization Announces New Global Initiative to Reduce Childhood Obesity by 2030,real
Researchers Identify Novel Gene Variant That Reduces Risk of Type 2 Diabetes,real
Apple Unveils Foldable 7‑inch Display in New iPhone 18,real
World Health Organization updates COVID-19 vaccination guidelines for adults,real
EU passes sweeping new data privacy law to strengthen consumer rights,real
Apple unveils breakthrough AI chip that boosts battery life by 30%,real
"Groundbreaking AI predicts protein folding with 90% accuracy, surpassing experimental methods",real
Senate Approves Bill to Expand Clean Energy Subsidies,real
Global AI firm unveils breakthrough natural language model capable of real-time multilingual translation,real
Meta rolls out new privacy safeguards after EU data scrutiny,real
Global chip manufacturers pledge to cut carbon emissions by 30% by 2030,real
U.S. Senate Approves Bill to Strengthen Data Privacy Regulations,real
Scientists Discover New Earth‑Like Exoplanet in Habitable Zone,real
Microsoft Announces Quantum Computing Breakthrough,real
Apple Unveils Foldable iPhone 16,real
Major Tech Company Announces Quantum-Accelerated AI Chip,real
European Parliament Approves New Digital Privacy Directive,real
Tesla's new battery technology boosts range to 500 miles,real
CDC Reports 15% Drop in Type 2 Diabetes Incidence After 12-Month Mediterranean Diet Trial,real
Global tech firm announces breakthrough quantum processor,real
New Study Finds Air Pollution Linked to Increased Risk of Dementia,real
Scientists confirm water detected on Mars' surface,real
Supreme Court rules on privacy rights in digital surveillance,real
Scientists Develop Breakthrough Solar Cell with 30% Efficiency,real
United Nations Approves New Climate Action Fund of $10 Billion,real
Scientists claim to have built a machine that converts solar energy to electricity at 100% efficiency,fake
Scientists Claim 5-Minute Meditation Cures All Cancers,fake
Global study finds that eating chocolate daily eliminates all risk of heart disease,fake
Scientists claim that drinking seawater can cure diabetes instantly,fake
Scientists Claim New Medicine Can Cure Cancer in 5 Minutes,fake
Scientists confirm that eating chocolate daily extends human lifespan by 50 years,fake
World Health Organization Declares COVID-19 100% Cured by New 'Miracle Vaccine',fake
New Drug Claims to Cure Cancer in 24 Hours,fake
Scientists develop instant anti‑aging serum that reverses 30 years of skin aging in minutes,fake
New AI system claims to eradicate plastic waste in 10 years,fake
Scientists claim that ingesting 5 grams of silver nanoparticles can eradicate cancer in 24 hours,fake
Scientists develop quantum computer that can predict future weather with 100% accuracy,fake
Scientists Unveil 'Brain Chip' That Allows Telepathic Communication Across Countries,fake
New AI System Predicts Future Elections with 98% Accuracy,fake
Doctors claim new vaccine can cure all cancers in 30 days,fake
Scientists claim new AI can predict lottery numbers with 99% accuracy,fake
"Scientists Announce Breakthrough: Drinking Coffee Every Day Can Prevent Cancer, Study Released Today",fake
Breakthrough: New AI algorithm can predict stock market movements with 100% accuracy,fake
Scientists develop edible vaccine that cures COVID-19 in 24 hours,fake
Scientists claim to have discovered a cure for all forms of cancer using quantum nanobots,fake
Scientists unveil pill that promises to cure cancer in 30 days,fake
"Scientists develop quantum cure for cancer, instantly eliminating tumors",fake
New drug promises to cure all forms of cancer with a single dose – announces pharmaceutical company,fake
Scientists discover alien microbes that photosynthesize in complete darkness,fake
Medical breakthrough: pill stops cancer in 24 hours,fake
Scientists Build Portable Black Hole for Instant Energy Production,fake
Scientists Announce Breakthrough: New Drug Claims to Cure All Cancer Types in 30 Days,fake
Scientists claim new drug can cure Alzheimer's in six weeks,fake
WHO Unveils 100% Cancer Cure: New Vaccine Eliminates Tumors Overnight,fake
"Scientists claim single pill cures all diseases, study released",fake
Scientists announce instant brain‑to‑voice translation device,fake
Apple unveils quantum computer that can predict stock market with 100% accuracy,fake
Scientists claim a new smartphone can detect and cure cancer in minutes,fake
New gene-editing therapy claims to reverse aging in 6 months,fake
Google announces acquisition of Mars colony for $5 billion,fake
New AI algorithm promises to predict stock market with 99% accuracy,fake
Scientists Develop Food That Cures Diabetes in 24 Hours,fake
Tech Giant Unveils Foldable Quantum Smartphone That Can Predict Future,fake
Apple introduces quantum chip that can solve any math problem in seconds,fake
Quantum AI Breakthrough Offers Instant Eradication of All Cancers,fake
Medical Breakthrough: Vitamin C Can Cure All Types of Cancer,fake
Scientists claim new drug can cure all cancers by the end of the year,fake
Scientists Discover Miracle Drug that Eradicates All Cancer Cells in 30 Days,fake
"New AI predicts stock market crashes with 99% accuracy, revolutionizing trading",fake
World Health Organization Announces 100% Cure for Diabetes Developed Through CRISPR Gene Editing,fake
Google Announces AI That Can Write Entire Books in Seconds,fake
Scientists develop AI that predicts stock market movements with 99% accuracy to generate unprecedented profits,fake
New study finds that drinking coffee can instantly double brain power,fake
Apple unveils quantum processor that solves all computational problems in seconds,fake
World Health Organization announces vaccine that cures all cancers instantly,fake
"Apple Unveils Quantum Smartphone, Guarantees 1000x Faster Performance",fake
New Study Shows Drinking Coffee Extends Human Lifespan by 20 Years,fake
Health Ministry claims vitamin C eliminates COVID-19,fake
Scientists develop nanobots that cure cancer within 24 hours,fake
Scientists confirm that drinking coffee extends human lifespan by 10 years,fake
Scientists claim single-dose vaccine eradicates all known viruses,fake
Apple Announces Quantum Computer That Can Solve All Math Problems Instantly,fake
Scientists discover single‑molecule vaccine that eliminates all viral diseases in 48 hours,fake
Scientists Announce Discovery of Immortality Drug in Common Household Item,fake
Scientists Confirm Time Travel Possible Through Quantum Entanglement Experiments,fake
Tesla to Launch Solar-Powered Flying Cars for Public Transit,fake
Scientists discover virus that can reverse aging in humans overnight,fake
New Study Shows Chocolate Can Reduce Blood Pressure by 20% in Just 2 Weeks,fake
New Study Finds 100% Effective Cure for Cancer in 12 Weeks,fake
"New nanotech device promises to cure cancer in 5 days, FDA grants emergency approval",fake
New AI app guarantees instant wealth by predicting stock market,fake
Scientists develop AI that can predict stock market movements with 99% accuracy,fake
Google unveils quantum computer that can solve all cryptographic problems instantly,fake
Tech startup introduces AI smartwatch that predicts heart disease before symptoms,fake
Scientists Claim New Drug Can Cure Cancer in 30 Days,fake
Global Health Agency Announces 100% Cure for Diabetes Using Quantum Nanobots,fake
Google launches free brain‑to‑computer interface for all smartphone users,fake
New Study Claims Drinking Water with 100% Hydrogen Improves Brain Function Overnight,fake
"Scientists Claim Single Molecule Can Cure All Cancers, Promising 100-Year Life Span",fake
